year,pkd,CF_dyn,CF_to_TC,DEBT_to_GS,GS_dyn,NP_dyn,NP_to_GS,NP_to_TC,STL_to_GS,growth,profit,cash,debt_burden,g_med,p_med,growth_high,profit_high,group
2008,10.1,-0.0474390930288655,0.0445242478695609,0.1997077235856184,0.0449746308603906,-0.6351390885154988,0.0071267842116077,0.0071870687382929,0.1469680297205659,-0.21253451689465794,0.0071569264749503005,-0.0014574225796523017,0.17333787665309214,-0.07488280501781984,0.0233899003843271,False,False,Dog
2008,22.2,-0.0341594086637634,0.1102048968912083,0.3640601302875284,0.0049933377937578,-0.4426964400931354,0.0312221724541675,0.0324717015549515,0.2648850750842783,-0.15728750365438032,0.0318469370045595,0.038022744113722445,0.3144726026859034,-0.07488280501781984,0.0233899003843271,False,True,Cash cow
2008,29.3,-0.1711272564981641,0.0766022774721382,0.3544268507297986,-0.0034944228672365,-0.8194789688986319,0.0073465765893022,0.0074106094730135,0.2790501624430068,-0.33136688275467746,0.00737859303115785,-0.04726248951301295,0.3167385065864027,-0.07488280501781984,0.0233899003843271,False,False,Dog
2008,35.1,0.03024333952039,0.0949101481803904,0.2647246101301498,0.2855056440612777,-0.0277345308097118,0.0379752465395344,0.0398996149094582,0.1823590132923958,0.09600481759065198,0.038937430724496305,0.06257674385039019,0.2235418117112728,-0.07488280501781984,0.0233899003843271,True,True,Star
2008,41.2,0.417889175574395,0.099193509946919,0.3729356318504679,0.2477253929611569,0.3349124601479831,0.0644185188953666,0.0697552555474028,0.2961463107327877,0.33350900956117835,0.0670868872213847,0.258541342760657,0.3345409712916278,-0.07488280501781984,0.0233899003843271,True,True,Star
2008,45.1,-0.1504320284499763,0.0339835308486797,0.2041380942329757,-0.0003936935297553,-0.5425661360513054,0.011669202245722,0.011837584539291,0.1743301287411963,-0.23113061934367898,0.0117533933925065,-0.058224248800648304,0.189234111487086,-0.07488280501781984,0.0233899003843271,False,False,Dog
2008,46.3,0.1863343703084614,0.0316036555806503,0.1882751114526789,0.2300523661644766,-0.0133858071896644,0.0160427358774205,0.0163572607409559,0.1584324422578172,0.13433364309442453,0.0161999983091882,0.10896901294455585,0.17335377685524805,-0.07488280501781984,0.0233899003843271,True,False,Question mark
2008,46.4,0.0437750306877782,0.0460655379771252,0.2799971986472709,0.0523299832828443,-0.1769211058280899,0.0230505614931475,0.0237292392755067,0.2554246308540033,-0.026938697285822464,0.0233899003843271,0.044920284332451696,0.26771091475063713,-0.07488280501781984,0.0233899003843271,True,True,Star
2008,46.7,0.1151284412722426,0.0419863120405942,0.2088820431194653,0.0684608240558086,-0.4082376803815107,0.0139505297782351,0.0141993631076502,0.1671465890630742,-0.07488280501781984,0.01407494644294265,0.0785573766564184,0.18801431609126973,-0.07488280501781984,0.0233899003843271,True,False,Question mark
2008,46.9,0.2057006553947793,0.0605371856332897,0.2599647900667325,0.0956049165770547,0.0040283781183172,0.0336442744659004,0.0350853782336791,0.2216199887850486,0.10177798336338373,0.034364826349789754,0.1331189205140345,0.24079238942589054,-0.07488280501781984,0.0233899003843271,True,True,Star
