pkd_code,target,n_train,n_test,mae,rmse,r2,n_features_used,missing_features
45.1,45.1_Marża CF (CF Margin),5,2,0.003214826172117406,0.0033963663479940074,0.49068992023902713,8,
45.1,45.1_Udział działalności fin. w NP,5,2,0.0803728572788224,0.10828412207268466,0.16651289627494348,8,
45.1,45.1_Relacja CF do NP,5,2,0.13387480888653225,0.15639770687540613,0.52056852433869,8,
45.1,45.1_GS_dyn,5,2,0.2562794194232314,0.2654037032220385,-12.281325896254199,8,
45.1,45.1_GS_I_dyn,5,2,0.2536868397672522,0.26224629944848465,-12.784022648388692,8,
45.1,45.1_NP_dyn,5,2,0.2859898632713228,0.30203352156718016,0.10846785594994357,8,
45.1,45.1_CF_dyn,5,2,0.17399735672145822,0.22892204607982403,0.06546497284489405,8,
45.1,45.1_EN_dyn,5,2,0.01982068008686455,0.020367566158578924,-15.529029652013243,8,
45.1,45.1_DEBT_to_GS,5,2,0.009210931749057155,0.01170997135151035,-26.011946297594932,8,
45.1,45.1_LTL_to_GS,5,2,0.010253031113276355,0.011084902833620316,-92.87917283613938,8,
45.1,45.1_STL_to_GS,5,2,0.007658319853128953,0.008039945770028383,-51.55561260644398,8,
45.1,45.1_STC_to_GS_I,5,2,0.005098631717507945,0.005513840415630324,-3.3180522982106693,8,
45.1,45.1_LTC_to_GS_I,5,2,0.00634292009711769,0.006728769030888978,-1403.7338407537452,8,
45.1,45.1_NWC_to_GS,5,2,0.00483312669915063,0.006650247091321544,-12.998202061017919,8,
45.1,45.1_C_to_GS,5,2,0.00862026592501858,0.00873373271341275,-9.968264424088394,8,
45.1,45.1_INV_to_GS_I,5,2,0.011139491703964291,0.011226537003715677,-51.15232934024135,8,
45.1,45.1_REC_to_GS_I,5,2,0.005517075556505886,0.00588252467176999,-4.390493040982879,8,
45.1,45.1_REC_to_STL,5,2,0.02004201584942597,0.020073856313617446,-2.8195724888307514,8,
45.1,45.1_INV_to_STL,5,2,0.05385310388198261,0.05394321298754164,-17.18709339940209,8,
45.1,45.1_NWC_to_STL,5,2,0.027676065682456452,0.03425507737486458,-14.869475987073006,8,
45.1,45.1_CF_to_TC,5,2,0.0033592257854438926,0.003557806988253216,0.5091138916290401,8,
45.1,45.1_OFE_to_GS,5,2,0.00035970294461208185,0.0003692835133937998,0.07631066730037628,8,
45.1,45.1_OFE_to_NP,5,2,0.09194037678905748,0.09341284288988717,-43.75691334948908,8,
45.1,45.1_PPO_to_GS_I,5,2,0.0006671531231024117,0.0007493716947778075,-12.820322753287027,8,
46.3,46.3_CF,5,2,3427.6266015625006,3433.613657349592,-292.04046950496394,11,
46.3,46.3_EN,5,2,60.273681640625,61.351844537267176,-15.729104995727539,11,
46.3,46.3_GS,5,2,67248.235,67395.16725400143,-277.4970265036714,11,
46.3,46.3_GS_I,5,2,66687.2740625,66833.3570604979,-270.9701344382102,11,
46.3,46.3_LTC,5,2,1150.0969921874998,1234.0488167376798,-6.297346260431184,11,
46.3,46.3_LTL,5,2,2938.9843164062495,2940.4877788952294,-628.4286095183214,11,
46.3,46.3_NP,5,2,1482.636103515625,1484.199669354622,-465.66794767572065,11,
46.3,46.3_PEN,5,2,29.021240234375,29.37346758802119,-41.60743713378906,11,
46.3,46.3_PNPM,5,2,66736.0671875,66885.88893629669,-263.6568906006636,11,
46.3,46.3_STC,5,2,373.2896582031249,452.48407491898996,-0.6719829078650956,11,
46.3,46.3_STL,5,2,9814.3274609375,10012.686820346215,-34.399534177616324,11,
46.3,46.3_TC,5,2,65339.09,65483.782351801616,-268.28477156065935,11,
46.3,46.3_EN_upadlosci,5,2,9.0,11.171590666869115,-0.5407955312108288,11,
46.3,46.3_Średni CF na firmę,5,2,3.8564186248364267,3.85714473184243,-4858.855296352816,11,
46.3,46.3_Marża CF (CF Margin),5,2,0.00437716540686809,0.004377995852076521,-2635.183019429416,11,
46.3,46.3_Udział działalności fin. w NP,5,2,0.09059941091119175,0.0907396653500512,-294.9593174679437,11,
46.3,46.3_Relacja CF do NP,5,2,0.10636152007873512,0.10730174711928167,-55.387003778070614,11,
46.3,46.3_GS_dyn,5,2,0.04418279912050758,0.05858396762408132,-1.3190341139715143,11,
46.3,46.3_GS_I_dyn,5,2,0.04923599733183454,0.06152605071034067,-1.7808229026890263,11,
46.3,46.3_NP_dyn,5,2,0.1208180433427231,0.15730736137705084,-1.5365513410476646,11,
46.3,46.3_CF_dyn,5,2,0.10165753484337105,0.11338787047461296,-0.24409644711979595,11,
46.3,46.3_EN_dyn,5,2,0.0258557976100828,0.03060619683097237,-0.4012087950056913,11,
46.3,46.3_DEBT_to_GS,5,2,0.004273816429277877,0.005646538050005629,-1.476594078837636,11,
46.3,46.3_LTL_to_GS,5,2,0.003181895047586137,0.0035487152368127986,-4.10075691584733,11,
46.3,46.3_STL_to_GS,5,2,0.0062943967835767944,0.006544103516704236,-0.6088613473660562,11,
46.3,46.3_STC_to_GS_I,5,2,0.006538869049716666,0.006834977211445998,-10.796887483460793,11,
46.3,46.3_LTC_to_GS_I,5,2,0.006582463200295251,0.00715436820822346,-5.515265349307015,11,
46.3,46.3_NWC_to_GS,5,2,0.0036201807757654126,0.003833373290402042,-8.247553803300216,11,
46.3,46.3_C_to_GS,5,2,0.003198533406193428,0.003218437299569507,-80.10021626905981,11,
46.3,46.3_INV_to_GS_I,5,2,0.00043529657986485573,0.00043532231741401676,-6.331254195048213,11,
46.3,46.3_REC_to_GS_I,5,2,0.0019570576112105387,0.002038522597303643,-21.000956403032554,11,
46.3,46.3_REC_to_STL,5,2,0.019579048831671608,0.022106396790186188,-0.4403252347428761,11,
46.3,46.3_INV_to_STL,5,2,0.010199081222302647,0.010687492088495397,-0.06781591066974779,11,
46.3,46.3_NWC_to_STL,5,2,0.01537744340052985,0.020171881139001323,-0.7207767380737005,11,
46.3,46.3_CF_to_TC,5,2,0.0044520508318693815,0.00445261804590847,-3924.2392960395027,11,
46.3,46.3_OFE_to_GS,5,2,0.0004235832194088697,0.00043446443794635645,-19.217131016640213,11,
46.3,46.3_OFE_to_NP,5,2,0.03159384130565619,0.03178444095608091,-82.63086529445216,11,
46.3,46.3_PPO_to_GS_I,5,2,0.0014828168723243235,0.0014873651369529224,-264.05596504318925,11,
46.4,46.4_CF,5,2,3172.8678613281254,3180.9023138061925,-277.72371964951117,8,
46.4,46.4_EN,5,2,51.3515625,51.36768120009896,-1171.728271484375,8,
46.4,46.4_GS,5,2,51508.83328125,51850.10725308708,-90.66470589704797,8,
46.4,46.4_GS_I,5,2,50621.94625000001,50989.92296629201,-81.60078150135604,8,
46.4,46.4_LTC,5,2,756.6777392578124,757.3407452929283,-546.3904882435586,8,
46.4,46.4_LTL,5,2,1046.4073535156251,1049.8381958742855,-152.25047243301216,8,
46.4,46.4_NP,5,2,2449.5244140625,2466.336813611528,-79.59799074204636,8,
46.4,46.4_PEN,5,2,63.12890625,63.91064318640519,-19.839645385742188,8,
46.4,46.4_PNPM,5,2,50563.869374999995,50936.28319621777,-80.18945105413744,8,
46.4,46.4_STC,5,2,725.4114257812498,751.1635884772276,-13.83883594093322,8,
46.4,46.4_STL,5,2,10671.312109374998,10750.170089455856,-73.51032125307005,8,
46.4,46.4_TC,5,2,48916.37859374999,49233.6975572696,-91.78184677216215,8,
46.4,46.4_EN_upadlosci,5,2,7.772676467895508,8.164833095328808,-9.666319915932254,8,
46.4,46.4_Średni CF na firmę,5,2,2.4920136851122336,2.4999726235553443,-202.0852993822432,8,
46.4,46.4_Marża CF (CF Margin),5,2,0.007147695617819361,0.007182373009288728,-96.06772992204272,8,
46.4,46.4_Udział działalności fin. w NP,5,2,0.013893154194566128,0.01479333428175556,-6.808775258349419,8,
46.4,46.4_Relacja CF do NP,5,2,0.15001865455152907,0.15279698688238152,-28.25521743645596,8,
46.4,46.4_GS_dyn,5,2,0.03590335738824366,0.03766183481308184,-5.453352469650747,8,
46.4,46.4_GS_I_dyn,5,2,0.04251689607966512,0.04313756179890448,-13.164879614540519,8,
46.4,46.4_NP_dyn,5,2,0.12304254231608083,0.1413140441726707,-0.3584543668908644,8,
46.4,46.4_CF_dyn,5,2,0.0938534010503077,0.10342811758596498,-0.21444320892511248,8,
46.4,46.4_EN_dyn,5,2,0.01186690637911305,0.012095806331594499,-0.038949927290125474,8,
46.4,46.4_DEBT_to_GS,5,2,0.01228821399861546,0.012304490903018547,-377.22409092095467,8,
46.4,46.4_LTL_to_GS,5,2,0.0016755205307297724,0.0017017698881842515,-31.66740107817261,8,
