rok;pkd;liczba_upadlosci
2020;70.2;26
2020;71.1;23
2020;71.2;1
2020;72.1;2
2020;73.1;18
2020;73.2;1
2020;74.1;2
2020;74.9;3
2020;75.0;2
2020;77.1;1
2020;77.2;2
2020;77.3;3
2020;77.4;1
2020;78.1;4
2020;78.2;4
2020;78.3;4
2020;79.1;5
2020;80.1;3
2020;81.2;1
2020;81.3;3
2020;82.1;2
2020;82.2;2
2020;82.3;2
2020;82.9;6
2020;85.1;2
2020;85.2;4
2020;85.4;1
2020;85.5;12
2020;85.6;1
2020;86.1;3
2020;86.2;13
2020;86.9;8
2020;87.3;2
2020;88.1;1
2020;88.9;1
2020;90.0;1
2020;93.1;10
2020;93.2;3
2020;94.1;1
2020;94.9;3
2020;95.2;2
2020;96.0;7
2021;01.1;21
2021;01.2;1
2021;01.4;30
2021;01.5;106
2021;01.6;10
2021;02.4;1
2021;05.1;1
2021;06.1;1
2021;08.1;1
2021;09.9;1
2021;10.1;6
2021;10.2;1
2021;10.3;2
2021;10.4;1
2021;10.5;1
2021;10.6;1
2021;10.7;11
2021;10.8;2
2021;10.9;1
2021;13.1;1
2021;13.3;1
2021;13.9;3
2021;14.1;7
2021;15.2;2
2021;16.1;1
2021;16.2;9
2021;17.2;5
2021;18.1;3
2021;19.2;1
2021;20.1;1
2021;20.4;1
2021;20.5;2
2021;22.1;1
2021;22.2;12
2021;23.1;1
2021;23.6;3
2021;23.7;2
2021;23.9;1
2021;24.3;1
2021;25.1;10
2021;25.2;1
2021;25.4;1
2021;25.5;1
2021;25.6;15
2021;25.9;4
2021;26.1;1
2021;26.2;1
2021;26.7;1
2021;27.3;1
2021;27.4;1
2021;28.1;1
2021;28.2;1
2021;28.9;7
2021;29.1;1
2021;30.1;2
2021;30.2;1
2021;30.9;1
2021;31.0;8
2021;32.4;1
2021;32.5;2
2021;32.9;1
2021;33.1;8
2021;33.2;6
2021;35.1;4
2021;35.3;2
2021;37.0;1
2021;38.2;2
2021;38.3;4
2021;39.0;2
2021;41.1;31
2021;41.2;42
2021;42.1;7
2021;42.2;8
2021;43.1;6
2021;43.2;22
2021;43.3;7
2021;43.9;9
2021;45.1;11
2021;45.2;11
2021;45.3;6
2021;45.4;1
2021;46.1;19
2021;46.2;8
2021;46.3;19
2021;46.4;20
2021;46.5;7
2021;46.6;2
2021;46.7;20
2021;46.9;10
2021;47.1;23
2021;47.2;3
2021;47.3;2
2021;47.4;3
2021;47.5;15
2021;47.6;7
2021;47.7;24
2021;47.8;1
2021;47.9;22
2021;49.3;9
2021;49.4;60
2021;50.2;1
2021;52.1;4
2021;52.2;12
2021;53.1;1
2021;53.2;4
2021;55.1;11
2021;55.2;1
2021;55.3;1
2021;55.9;1
2021;56.1;41
2021;56.2;6
2021;56.3;1
2021;58.1;8
2021;58.2;2
2021;59.1;7
2021;61.1;2
2021;62.0;18
2021;63.1;6
2021;64.1;5
2021;64.2;6
2021;64.9;19
2021;66.1;4
2021;66.2;4
2021;68.1;23
2021;68.2;30
2021;68.3;4
2021;69.1;1
2021;69.2;6
2021;70.1;7
2021;70.2;34
2021;71.1;25
2021;71.2;2
2021;72.1;6
2021;73.1;9
2021;73.2;3
2021;74.1;2
2021;74.2;2
2021;74.9;5
2021;75.0;3
2021;77.1;2
2021;77.3;7
2021;78.1;11
2021;78.2;9
2021;78.3;5
2021;79.1;3
2021;80.1;4
2021;80.2;1
2021;80.3;1
2021;81.2;4
2021;81.3;6
2021;82.1;6
2021;82.2;2
2021;82.3;7
2021;82.9;5
2021;84.2;1
2021;85.2;1
2021;85.4;1
2021;85.5;11
2021;85.6;1
2021;86.1;1
2021;86.2;18
2021;86.9;6
2021;87.3;1
2021;87.9;2
2021;88.1;4
2021;88.9;2
2021;92.0;1
2021;93.1;9
2021;93.2;6
2021;94.9;4
2021;95.2;1
2021;96.0;8
2021;Zi.e;1
2022;01.1;19
2022;01.2;4
2022;01.3;1
2022;01.4;11
2022;01.5;44
2022;01.6;8
2022;03.2;1
2022;07.2;1
2022;09.9;1
2022;10.1;6
2022;10.3;1
2022;10.4;2
2022;10.5;2
2022;10.7;6
2022;10.8;10
2022;10.9;1
2022;11.0;2
2022;13.2;1
2022;13.9;3
2022;14.1;14
2022;15.2;2
2022;16.1;4
2022;16.2;12
2022;17.1;1
2022;17.2;5
2022;18.1;4
2022;20.1;2
2022;20.4;4
2022;20.5;2
2022;21.2;2
2022;22.1;1
2022;22.2;17
2022;23.1;2
2022;23.4;1
2022;23.6;2
2022;23.9;3
2022;24.1;1
2022;24.4;2
2022;24.5;1
2022;25.1;22
2022;25.2;3
2022;25.6;12
2022;25.9;5
2022;26.1;1
2022;26.3;1
2022;26.5;1
2022;27.2;1
2022;27.4;1
2022;28.3;1
2022;28.4;2
2022;28.9;2
2022;29.2;2
2022;29.3;3
2022;30.1;3
2022;30.3;2
2022;30.9;1
2022;31.0;24
2022;32.1;2
2022;32.3;1
2022;32.5;4
2022;32.9;4
2022;33.1;8
2022;33.2;4
2022;35.1;5
2022;36.0;2
2022;38.1;2
2022;38.2;1
2022;38.3;1
2022;39.0;1
2022;41.1;39
2022;41.2;54
2022;42.1;7
2022;42.2;7
2022;42.9;5
2022;43.1;2
2022;43.2;40
2022;43.3;10
2022;43.9;5
2022;45.1;5
2022;45.2;16
2022;45.3;5
2022;45.4;2
2022;46.1;12
2022;46.2;4
2022;46.3;30
2022;46.4;20
2022;46.5;10
2022;46.6;13
2022;46.7;25
2022;46.9;16
2022;47.1;38
2022;47.2;5
2022;47.3;3
2022;47.4;5
2022;47.5;10
2022;47.6;8
2022;47.7;21
2022;47.9;31
2022;49.1;1
2022;49.3;16
2022;49.4;67
2022;50.1;1
2022;50.2;1
2022;52.1;3
2022;52.2;17
2022;53.2;3
2022;55.1;8
2022;55.2;3
2022;56.1;60
2022;56.2;10
2022;56.3;3
2022;58.1;2
2022;58.2;2
2022;59.1;4
2022;61.1;4
2022;61.2;2
2022;62.0;47
2022;63.1;13
2022;64.1;5
2022;64.2;3
2022;64.9;11
2022;66.1;5
2022;66.2;7
2022;66.3;2
2022;68.1;18
2022;68.2;28
2022;68.3;10
2022;69.1;8
2022;69.2;12
2022;70.1;13
2022;70.2;47
2022;71.1;21
2022;71.2;1
2022;72.1;6
2022;73.1;9
2022;73.2;3
2022;74.1;3
2022;74.9;5
2022;75.0;1
2022;77.1;5
2022;77.2;2
2022;77.3;4
2022;77.4;1
2022;78.1;5
2022;78.2;5
2022;78.3;3
2022;79.1;4
2022;79.9;1
2022;80.1;8
2022;80.2;3
2022;81.1;2
2022;81.2;9
2022;81.3;1
2022;82.1;11
2022;82.2;5
2022;82.3;1
2022;82.9;5
2022;85.1;3
2022;85.2;1
2022;85.3;1
2022;85.4;2
2022;85.5;7
2022;85.6;4
2022;86.1;7
2022;86.2;23
2022;86.9;10
2022;87.3;1
2022;88.1;2
2022;88.9;4
2022;90.0;2
2022;91.0;1
2022;93.1;10
2022;93.2;5
2022;94.9;9
2022;95.1;3
2022;95.2;1
2022;96.0;18
2023;01.1;22
2023;01.2;3
2023;01.4;11
2023;01.5;44
2023;01.6;10
2023;02.1;1
2023;02.2;3
2023;08.1;1
2023;09.9;1
2023;10.1;6
2023;10.3;6
2023;10.4;1
2023;10.5;2
2023;10.6;1
2023;10.7;11
2023;10.8;9
2023;11.0;2
2023;13.1;1
2023;13.3;1
2023;13.9;5
2023;14.1;6
2023;15.1;1
2023;15.2;5
2023;16.1;6
2023;16.2;12
2023;17.2;5
2023;18.1;6
2023;19.2;1
2023;20.1;3
2023;20.3;1
2023;20.4;4
2023;20.5;1
2023;21.2;1
2023;22.2;9
2023;23.1;2
2023;23.6;6
2023;23.9;2
2023;24.2;1
2023;24.3;2
2023;24.4;1
2023;25.1;24
2023;25.2;1
2023;25.5;4
2023;25.6;23
2023;25.9;3
2023;26.1;3
2023;26.5;3
2023;27.1;3
2023;27.3;1
2023;27.4;1
2023;28.1;2
2023;28.2;2
2023;28.3;2
2023;28.4;2
2023;28.9;5
2023;29.3;2
2023;30.1;4
2023;30.9;2
2023;31.0;24
2023;32.1;1
2023;32.4;2
2023;32.5;3
2023;32.9;1
2023;33.1;17
2023;33.2;6
2023;35.1;8
2023;38.1;5
2023;38.2;2
2023;38.3;2
2023;41.1;51
2023;41.2;55
2023;42.1;8
2023;42.2;5
2023;42.9;3
2023;43.1;6
2023;43.2;69
2023;43.3;40
2023;43.9;19
2023;45.1;21
2023;45.2;20
2023;45.3;9
2023;45.4;1
2023;46.1;20
2023;46.2;10
2023;46.3;33
2023;46.4;28
2023;46.5;5
2023;46.6;9
2023;46.7;31
2023;46.9;28
2023;47.1;31
2023;47.2;10
2023;47.3;1
2023;47.4;5
2023;47.5;20
2023;47.6;8
2023;47.7;38
2023;47.8;5
2023;47.9;55
2023;49.3;16
2023;49.4;133
2023;52.1;1
2023;52.2;21
2023;53.2;11
2023;55.1;10
2023;55.2;7
2023;56.1;66
2023;56.2;4
2023;58.1;4
2023;58.2;6
2023;59.1;3
2023;60.2;1
2023;61.1;5
2023;61.2;4
2023;62.0;48
2023;63.1;12
2023;63.9;2
2023;64.1;1
2023;64.2;1
2023;64.3;2
2023;64.9;13
2023;66.1;9
2023;66.2;7
2023;68.1;17
2023;68.2;33
2023;68.3;11
2023;69.1;5
2023;69.2;21
2023;70.1;16
2023;70.2;36
2023;71.1;33
2023;71.2;5
2023;72.1;8
2023;73.1;25
2023;73.2;1
2023;74.1;15
2023;74.9;5
2023;75.0;4
2023;77.1;1
2023;77.2;1
2023;77.3;4
2023;77.4;1
2023;78.1;10
2023;78.2;13
2023;78.3;6
2023;79.1;1
2023;79.9;1
2023;80.1;5
2023;80.2;2
2023;81.1;5
2023;81.2;12
2023;81.3;5
2023;82.1;4
2023;82.2;3
2023;82.3;3
2023;82.9;8
2023;85.1;5
2023;85.2;1
2023;85.4;1
2023;85.5;17
2023;85.6;2
2023;86.1;3
2023;86.2;27
2023;86.9;22
2023;87.1;1
2023;87.3;1
2023;88.9;6
2023;90.0;9
2023;92.0;1
2023;93.1;8
2023;93.2;4
2023;94.1;1
2023;94.9;10
2023;95.1;2
2023;95.2;2
2023;96.0;20
2024;01.1;22
2024;01.2;6
2024;01.3;2
2024;01.4;7
2024;01.5;36
2024;01.6;7
2024;02.2;1
2024;02.4;6
2024;08.1;2
2024;10.1;11
2024;10.2;2
2024;10.3;7
2024;10.4;1
2024;10.5;1
2024;10.6;2
2024;10.7;7
2024;10.8;9
2024;10.9;2
2024;11.0;3
2024;13.2;1
2024;13.9;6
2024;14.1;16
2024;15.2;2
2024;16.1;3
2024;16.2;15
2024;17.1;1
2024;17.2;6
2024;18.1;9
2024;20.1;4
2024;20.4;2
2024;20.5;4
2024;21.2;2
2024;22.2;12
2024;23.1;1
2024;23.3;2
2024;23.4;1
2024;23.6;2
2024;23.7;1
2024;23.9;1
2024;24.4;1
2024;24.5;2
2024;25.1;30
2024;25.3;1
2024;25.5;1
2024;25.6;17
2024;25.7;1
2024;25.9;5
2024;26.4;1
2024;26.5;2
2024;26.7;1
2024;27.1;4
2024;27.9;1
2024;28.2;5
2024;28.3;1
2024;28.4;2
2024;28.9;6
2024;29.3;2
2024;30.1;1
2024;30.3;1
2024;30.9;2
2024;31.0;21
2024;32.1;1
2024;32.5;2
2024;33.1;14
2024;33.2;5
2024;35.1;10
2024;38.1;2
2024;38.2;1
2024;38.3;4
2024;39.0;1
2024;41.1;47
2024;41.2;56
2024;42.1;11
2024;42.2;7
2024;42.9;4
2024;43.1;7
2024;43.2;80
2024;43.3;35
2024;43.9;13
2024;45.1;16
2024;45.2;20
2024;45.3;11
2024;46.1;34
2024;46.2;8
2024;46.3;15
2024;46.4;23
2024;46.5;7
2024;46.6;11
2024;46.7;46
2024;46.9;17
2024;47.1;51
2024;47.2;10
2024;47.4;5
2024;47.5;11
2024;47.6;6
2024;47.7;35
2024;47.9;52
2024;49.2;1
2024;49.3;6
2024;49.4;150
2024;50.2;2
2024;52.1;5
2024;52.2;14
2024;53.2;9
2024;55.1;9
2024;55.2;6
2024;55.3;1
2024;56.1;70
2024;56.2;9
2024;56.3;3
2024;58.1;4
2024;58.2;7
2024;59.1;5
2024;59.2;1
2024;61.1;5
2024;61.2;1
2024;62.0;42
2024;63.1;15
2024;64.1;4
2024;64.2;7
