Poziom,Symbol PKD 2007,Nazwa grupowania PKD 2007,Symbol PKD 2025,Nazwa grupowania PKD 2025
2,16,"Produkcja wyrobów z drewna oraz korka, z wyłączeniem mebli; produkcja wyrobów ze słomy i materiałów używanych do wyplatania",15,"Produkcja skór i wyrobów ze skór wyprawionych, produkcja podobnych wyrobów z innych materiałów"
2,16,"Produkcja wyrobów z drewna oraz korka, z wyłączeniem mebli; produkcja wyrobów ze słomy i materiałów używanych do wyplatania",16,"Produkcja wyrobów z drewna i korka, z wyłączeniem mebli; produkcja wyrobów ze słomy i materiałów używanych do wyplatania"
3,16.1,Produkcja wyrobów tartacznych,16.1,Produkcja wyrobów tartacznych; obróbka i wykończanie wyrobów tartacznych
3,16.2,"Produkcja wyrobów z drewna, korka, słomy i materiałów używanych do wyplatania",15.2,Produkcja obuwia
3,16.2,"Produkcja wyrobów z drewna, korka, słomy i materiałów używanych do wyplatania",16.2,"Produkcja wyrobów z drewna, korka, słomy i materiałów używanych do wyplatania"
2,17,Produkcja papieru i wyrobów z papieru,17,Produkcja papieru i wyrobów z papieru
3,17.1,"Produkcja masy włóknistej, papieru i tektury",17.1,"Produkcja masy włóknistej, papieru i tektury"
3,17.2,Produkcja wyrobów z papieru i tektury,17.2,Produkcja wyrobów z papieru i tektury
2,18,Poligrafia i reprodukcja zapisanych nośników informacji,13,Produkcja wyrobów tekstylnych
2,18,Poligrafia i reprodukcja zapisanych nośników informacji,18,Poligrafia i reprodukcja zapisanych nośników informacji
3,18.1,Drukowanie i działalność usługowa związana z poligrafią,13.3,Wykończanie wyrobów tekstylnych
3,18.1,Drukowanie i działalność usługowa związana z poligrafią,18.1,Drukowanie i działalność usługowa związana z poligrafią
3,18.2,Reprodukcja zapisanych nośników informacji,18.2,Reprodukcja zapisanych nośników informacji
2,19,Wytwarzanie i przetwarzanie koksu i produktów rafinacji ropy naftowej,19,Wytwarzanie i przetwarzanie koksu i produktów rafinacji ropy naftowej
3,19.1,Wytwarzanie i przetwarzanie koksu,19.1,Wytwarzanie i przetwarzanie koksu
3,19.2,Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej,19.2,Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej oraz produktów z paliw kopalnych
2,20,Produkcja chemikaliów i wyrobów chemicznych,20,Produkcja chemikaliów i wyrobów chemicznych
3,20.1,"Produkcja podstawowych chemikaliów, nawozów i związków azotowych, tworzyw sztucznych i kauczuku syntetycznego w formach podstawowych",20.1,"Produkcja podstawowych chemikaliów, nawozów i związków azotowych, tworzyw sztucznych i kauczuku syntetycznego w formach podstawowych"
3,20.1,"Produkcja podstawowych chemikaliów, nawozów i związków azotowych, tworzyw sztucznych i kauczuku syntetycznego w formach podstawowych",20.5,Produkcja pozostałych wyrobów chemicznych
3,20.2,Produkcja pestycydów i pozostałych środków agrochemicznych,20.2,"Produkcja pestycydów, środków dezynfekujących i pozostałych środków agrochemicznych"
3,20.3,"Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających",20.3,"Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających"
3,20.4,"Produkcja mydła i detergentów, środków myjących i czyszczących, wyrobów kosmetycznych i toaletowych",20.4,"Produkcja środków piorących, myjących i czyszczących"
3,20.5,Produkcja pozostałych wyrobów chemicznych,20.5,Produkcja pozostałych wyrobów chemicznych
3,20.6,Produkcja włókien chemicznych,20.6,Produkcja włókien chemicznych
2,21,Produkcja podstawowych substancji farmaceutycznych oraz leków i pozostałych wyrobów farmaceutycznych,21,Produkcja podstawowych substancji farmaceutycznych oraz leków i pozostałych wyrobów farmaceutycznych
3,21.1,Produkcja podstawowych substancji farmaceutycznych,21.1,Produkcja podstawowych substancji farmaceutycznych
3,21.2,Produkcja leków i pozostałych wyrobów farmaceutycznych,21.2,Produkcja leków i pozostałych wyrobów farmaceutycznych
2,22,Produkcja wyrobów z gumy i tworzyw sztucznych,15,"Produkcja skór i wyrobów ze skór wyprawionych, produkcja podobnych wyrobów z innych materiałów"
2,22,Produkcja wyrobów z gumy i tworzyw sztucznych,22,Produkcja wyrobów z gumy i tworzyw sztucznych
2,22,Produkcja wyrobów z gumy i tworzyw sztucznych,23,Produkcja wyrobów z pozostałych mineralnych surowców niemetalicznych
3,22.1,Produkcja wyrobów z gumy,15.2,Produkcja obuwia
3,22.1,Produkcja wyrobów z gumy,22.1,Produkcja wyrobów z gumy
3,22.2,Produkcja wyrobów z tworzyw sztucznych,15.2,Produkcja obuwia
3,22.2,Produkcja wyrobów z tworzyw sztucznych,22.2,Produkcja wyrobów z tworzyw sztucznych
3,22.2,Produkcja wyrobów z tworzyw sztucznych,23.6,"Produkcja wyrobów z betonu, cementu i gipsu"
2,23,Produkcja wyrobów z pozostałych mineralnych surowców niemetalicznych,23,Produkcja wyrobów z pozostałych mineralnych surowców niemetalicznych
