Poziom,Symbol PKD 2007,Nazwa grupowania PKD 2007,Symbol PKD 2025,Nazwa grupowania PKD 2025
3,35.1,"Wytwarzanie, przesyłanie, dystrybucja i handel energią elektryczną",35.1,"Wytwarzanie, przesyłanie, dystrybucja energii elektrycznej, handel energią elektryczną"
3,35.1,"Wytwarzanie, przesyłanie, dystrybucja i handel energią elektryczną",35.4,Działalność brokerów i agentów w zakresie energii elektrycznej i gazu ziemnego
3,35.2,Wytwarzanie paliw gazowych; dystrybucja i handel paliwami gazowymi w systemie sieciowym,35.2,Wytwarzanie paliw gazowych oraz dystrybucja i handel paliwami gazowymi w systemie sieciowym
3,35.2,Wytwarzanie paliw gazowych; dystrybucja i handel paliwami gazowymi w systemie sieciowym,35.4,Działalność brokerów i agentów w zakresie energii elektrycznej i gazu ziemnego
3,35.3,"Wytwarzanie i zaopatrywanie w parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych",35.3,Wytwarzanie i zaopatrywanie w parę wodną i powietrze do układów klimatyzacyjnych
1,E,DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ,C,PRZETWÓRSTWO PRZEMYSŁOWE
1,E,DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ,E,DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ
2,36,"Pobór, uzdatnianie i dostarczanie wody",36,"Pobór, uzdatnianie i dostarczanie wody"
3,36.0,"Pobór, uzdatnianie i dostarczanie wody",36.0,"Pobór, uzdatnianie i dostarczanie wody"
2,37,Odprowadzanie i oczyszczanie ścieków,37,Odprowadzanie i oczyszczanie ścieków
3,37.0,Odprowadzanie i oczyszczanie ścieków,37.0,Odprowadzanie i oczyszczanie ścieków
2,38,"Działalność związana ze zbieraniem, przetwarzaniem i unieszkodliwianiem odpadów; odzysk surowców",20,Produkcja chemikaliów i wyrobów chemicznych
2,38,"Działalność związana ze zbieraniem, przetwarzaniem i unieszkodliwianiem odpadów; odzysk surowców",38,"Działalność związana ze zbieraniem, odzyskiem i unieszkodliwianiem odpadów"
3,38.1,Zbieranie odpadów,38.1,Zbieranie odpadów
3,38.2,Przetwarzanie i unieszkodliwianie odpadów,38.2,Odzysk związany z odpadami
3,38.2,Przetwarzanie i unieszkodliwianie odpadów,38.3,Unieszkodliwianie odpadów bez odzysku
3,38.3,Odzysk surowców,20.1,"Produkcja podstawowych chemikaliów, nawozów i związków azotowych, tworzyw sztucznych i kauczuku syntetycznego w formach podstawowych"
3,38.3,Odzysk surowców,38.2,Odzysk związany z odpadami
2,39,Działalność związana z rekultywacją i pozostała działalność usługowa związana z gospodarką odpadami,39,Działalność związana z rekultywacją i pozostała działalność usługowa związana z gospodarką odpadami
3,39.0,Działalność związana z rekultywacją i pozostała działalność usługowa związana z gospodarką odpadami,39.0,Działalność związana z rekultywacją i pozostała działalność usługowa związana z gospodarką odpadami
1,F,BUDOWNICTWO,F,BUDOWNICTWO
1,F,BUDOWNICTWO,M,DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI
1,F,BUDOWNICTWO,O,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA
1,F,BUDOWNICTWO,S,"DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ"
2,41,Roboty budowlane związane ze wznoszeniem budynków,41,Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych
2,41,Roboty budowlane związane ze wznoszeniem budynków,43,Roboty budowlane specjalistyczne
2,41,Roboty budowlane związane ze wznoszeniem budynków,68,Działalność związana z obsługą rynku nieruchomości
2,41,Roboty budowlane związane ze wznoszeniem budynków,91,"Działalność bibliotek, archiwów, muzeów oraz pozostała działalność związana z kulturą"
3,41.1,Realizacja projektów budowlanych związanych ze wznoszeniem budynków,68.1,Działalność związana z obsługą rynku nieruchomości na własny rachunek oraz realizacja projektów budowlanych
3,41.2,Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych,41.0,Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych
3,41.2,Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych,43.9,Pozostałe specjalistyczne roboty budowlane
3,41.2,Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych,91.3,Działalność w zakresie konserwacji i renowacji oraz pozostała działalność wspomagająca na rzecz dziedzictwa kulturowego
2,42,Roboty związane z budową obiektów inżynierii lądowej i wodnej,42,Roboty związane z budową obiektów inżynierii lądowej i wodnej
2,42,Roboty związane z budową obiektów inżynierii lądowej i wodnej,43,Roboty budowlane specjalistyczne
2,42,Roboty związane z budową obiektów inżynierii lądowej i wodnej,68,Działalność związana z obsługą rynku nieruchomości
3,42.1,Roboty związane z budową dróg kołowych i szynowych,42.1,Roboty związane z budową dróg kołowych i szynowych
3,42.1,Roboty związane z budową dróg kołowych i szynowych,43.5,Roboty budowlane specjalistyczne w zakresie inżynierii lądowej i wodnej
3,42.2,"Roboty związane z budową rurociągów, linii telekomunikacyjnych i elektroenergetycznych",42.2,"Roboty związane z budową rurociągów, linii telekomunikacyjnych i elektroenergetycznych"
3,42.9,Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej,42.9,Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej
3,42.9,Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej,68.1,Działalność związana z obsługą rynku nieruchomości na własny rachunek oraz realizacja projektów budowlanych
2,43,Roboty budowlane specjalistyczne,42,Roboty związane z budową obiektów inżynierii lądowej i wodnej
2,43,Roboty budowlane specjalistyczne,43,Roboty budowlane specjalistyczne
2,43,Roboty budowlane specjalistyczne,81,Działalność usługowa związana z utrzymaniem porządku w budynkach i zagospodarowaniem terenów zieleni
3,43.1,Rozbiórka i przygotowanie terenu pod budowę,43.1,Rozbiórka i przygotowanie terenu pod budowę
3,43.2,"Wykonywanie instalacji elektrycznych, wodno-kanalizacyjnych i pozostałych instalacji budowlanych",43.2,"Wykonywanie instalacji elektrycznych, wodno-kanalizacyjnych i pozostałych instalacji budowlanych"
3,43.3,Wykonywanie robót budowlanych wykończeniowych,43.2,"Wykonywanie instalacji elektrycznych, wodno-kanalizacyjnych i pozostałych instalacji budowlanych"
3,43.3,Wykonywanie robót budowlanych wykończeniowych,43.3,Wykonywanie robót budowlanych wykończeniowych
3,43.3,Wykonywanie robót budowlanych wykończeniowych,81.2,Sprzątanie obiektów
3,43.9,Pozostałe specjalistyczne roboty budowlane,42.9,Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej
3,43.9,Pozostałe specjalistyczne roboty budowlane,43.2,"Wykonywanie instalacji elektrycznych, wodno-kanalizacyjnych i pozostałych instalacji budowlanych"
3,43.9,Pozostałe specjalistyczne roboty budowlane,43.3,Wykonywanie robót budowlanych wykończeniowych
3,43.9,Pozostałe specjalistyczne roboty budowlane,43.4,Wykonywanie specjalistycznych robót budowlanych w zakresie budowy budynków
3,43.9,Pozostałe specjalistyczne roboty budowlane,43.5,Roboty budowlane specjalistyczne w zakresie inżynierii lądowej i wodnej
3,43.9,Pozostałe specjalistyczne roboty budowlane,43.9,Pozostałe specjalistyczne roboty budowlane
3,43.9,Pozostałe specjalistyczne roboty budowlane,81.2,Sprzątanie obiektów
1,G,"HANDEL HURTOWY I DETALICZNY; NAPRAWA POJAZDÓW SAMOCHODOWYCH, WŁĄCZAJĄC MOTOCYKLE",G,HANDEL HURTOWY I DETALICZNY
1,G,"HANDEL HURTOWY I DETALICZNY; NAPRAWA POJAZDÓW SAMOCHODOWYCH, WŁĄCZAJĄC MOTOCYKLE",J,DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI
1,G,"HANDEL HURTOWY I DETALICZNY; NAPRAWA POJAZDÓW SAMOCHODOWYCH, WŁĄCZAJĄC MOTOCYKLE",T,POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA
2,45,Handel hurtowy i detaliczny pojazdami samochodowymi; naprawa pojazdów samochodowych,46,Handel hurtowy
2,45,Handel hurtowy i detaliczny pojazdami samochodowymi; naprawa pojazdów samochodowych,47,Handel detaliczny
2,45,Handel hurtowy i detaliczny pojazdami samochodowymi; naprawa pojazdów samochodowych,95,"Naprawa i konserwacja komputerów, artykułów użytku osobistego i domowego oraz pojazdów silnikowych, w tym motocykli"
3,45.1,"Sprzedaż hurtowa i detaliczna pojazdów samochodowych, z wyłączeniem motocykli",46.1,Sprzedaż hurtowa realizowana na zlecenie
3,45.1,"Sprzedaż hurtowa i detaliczna pojazdów samochodowych, z wyłączeniem motocykli",46.7,"Sprzedaż hurtowa pojazdów silnikowych, w tym motocykli, oraz części i akcesoriów do nich"
3,45.1,"Sprzedaż hurtowa i detaliczna pojazdów samochodowych, z wyłączeniem motocykli",47.8,"Sprzedaż detaliczna pojazdów silnikowych, w tym motocykli, oraz części i akcesoriów do nich"
3,45.1,"Sprzedaż hurtowa i detaliczna pojazdów samochodowych, z wyłączeniem motocykli",47.9,Pośrednictwo w sprzedaży detalicznej
3,45.2,"Konserwacja i naprawa pojazdów samochodowych, z wyłączeniem motocykli",95.3,"Naprawa i konserwacja pojazdów silnikowych, w tym motocykli"
3,45.3,"Sprzedaż hurtowa i detaliczna części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli",46.1,Sprzedaż hurtowa realizowana na zlecenie
3,45.3,"Sprzedaż hurtowa i detaliczna części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli",46.7,"Sprzedaż hurtowa pojazdów silnikowych, w tym motocykli, oraz części i akcesoriów do nich"
3,45.3,"Sprzedaż hurtowa i detaliczna części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli",47.8,"Sprzedaż detaliczna pojazdów silnikowych, w tym motocykli, oraz części i akcesoriów do nich"
3,45.3,"Sprzedaż hurtowa i detaliczna części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli",47.9,Pośrednictwo w sprzedaży detalicznej
3,45.4,"Sprzedaż hurtowa i detaliczna motocykli, ich naprawa i konserwacja oraz sprzedaż hurtowa i detaliczna części i akcesoriów do nich",46.1,Sprzedaż hurtowa realizowana na zlecenie
3,45.4,"Sprzedaż hurtowa i detaliczna motocykli, ich naprawa i konserwacja oraz sprzedaż hurtowa i detaliczna części i akcesoriów do nich",46.7,"Sprzedaż hurtowa pojazdów silnikowych, w tym motocykli, oraz części i akcesoriów do nich"
3,45.4,"Sprzedaż hurtowa i detaliczna motocykli, ich naprawa i konserwacja oraz sprzedaż hurtowa i detaliczna części i akcesoriów do nich",47.8,"Sprzedaż detaliczna pojazdów silnikowych, w tym motocykli, oraz części i akcesoriów do nich"
3,45.4,"Sprzedaż hurtowa i detaliczna motocykli, ich naprawa i konserwacja oraz sprzedaż hurtowa i detaliczna części i akcesoriów do nich",47.9,Pośrednictwo w sprzedaży detalicznej
3,45.4,"Sprzedaż hurtowa i detaliczna motocykli, ich naprawa i konserwacja oraz sprzedaż hurtowa i detaliczna części i akcesoriów do nich",95.3,"Naprawa i konserwacja pojazdów silnikowych, w tym motocykli"
2,46,"Handel hurtowy, z wyłączeniem handlu pojazdami samochodowymi",46,Handel hurtowy
3,46.1,Sprzedaż hurtowa realizowana na zlecenie,46.1,Sprzedaż hurtowa realizowana na zlecenie
3,46.2,Sprzedaż hurtowa płodów rolnych i żywych zwierząt,46.2,Sprzedaż hurtowa płodów rolnych i żywych zwierząt
3,46.3,"Sprzedaż hurtowa żywności, napojów i wyrobów tytoniowych",46.3,"Sprzedaż hurtowa żywności, napojów i wyrobów tytoniowych"
3,46.4,Sprzedaż hurtowa artykułów użytku domowego,46.4,Sprzedaż hurtowa artykułów użytku domowego
3,46.4,Sprzedaż hurtowa artykułów użytku domowego,46.6,"Sprzedaż hurtowa pozostałych maszyn, urządzeń i dodatkowego wyposażenia"
3,46.5,Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej,46.5,Sprzedaż hurtowa urządzeń technologii informacyjnej i komunikacyjnej
3,46.6,"Sprzedaż hurtowa maszyn, urządzeń i dodatkowego wyposażenia",46.4,Sprzedaż hurtowa artykułów użytku domowego
3,46.6,"Sprzedaż hurtowa maszyn, urządzeń i dodatkowego wyposażenia",46.5,Sprzedaż hurtowa urządzeń technologii informacyjnej i komunikacyjnej
3,46.6,"Sprzedaż hurtowa maszyn, urządzeń i dodatkowego wyposażenia",46.6,"Sprzedaż hurtowa pozostałych maszyn, urządzeń i dodatkowego wyposażenia"
3,46.7,Pozostała wyspecjalizowana sprzedaż hurtowa,46.8,Pozostała sprzedaż hurtowa wyspecjalizowana
3,46.9,Sprzedaż hurtowa niewyspecjalizowana,46.9,Sprzedaż hurtowa niewyspecjalizowana
2,47,"Handel detaliczny, z wyłączeniem handlu detalicznego pojazdami samochodowymi",47,Handel detaliczny
2,47,"Handel detaliczny, z wyłączeniem handlu detalicznego pojazdami samochodowymi",60,"Nadawanie programów ogólnodostępnych i abonamentowych, działalność agencji informacyjnych i pozostała działalność związana z dystrybucją treści"
3,47.1,Sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach,47.1,Sprzedaż detaliczna niewyspecjalizowana
3,47.1,Sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach,47.9,Pośrednictwo w sprzedaży detalicznej
3,47.2,"Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych prowadzona w wyspecjalizowanych sklepach",47.2,"Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych"
3,47.2,"Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych prowadzona w wyspecjalizowanych sklepach",47.9,Pośrednictwo w sprzedaży detalicznej
3,47.3,Sprzedaż detaliczna paliw do pojazdów silnikowych na stacjach paliw,47.3,Sprzedaż detaliczna paliw do pojazdów silnikowych
3,47.3,Sprzedaż detaliczna paliw do pojazdów silnikowych na stacjach paliw,47.9,Pośrednictwo w sprzedaży detalicznej
3,47.4,Sprzedaż detaliczna narzędzi technologii informacyjnej i komunikacyjnej prowadzona w wyspecjalizowanych sklepach,47.4,Sprzedaż detaliczna narzędzi technologii informacyjnej i komunikacyjnej
3,47.4,Sprzedaż detaliczna narzędzi technologii informacyjnej i komunikacyjnej prowadzona w wyspecjalizowanych sklepach,47.9,Pośrednictwo w sprzedaży detalicznej
3,47.5,Sprzedaż detaliczna artykułów użytku domowego prowadzona w wyspecjalizowanych sklepach,47.5,Sprzedaż detaliczna pozostałych artykułów użytku domowego
3,47.5,Sprzedaż detaliczna artykułów użytku domowego prowadzona w wyspecjalizowanych sklepach,47.6,Sprzedaż detaliczna wyrobów związanych z kulturą i rekreacją
3,47.5,Sprzedaż detaliczna artykułów użytku domowego prowadzona w wyspecjalizowanych sklepach,47.9,Pośrednictwo w sprzedaży detalicznej
3,47.6,Sprzedaż detaliczna wyrobów związanych z kulturą i rekreacją prowadzona w wyspecjalizowanych sklepach,47.6,Sprzedaż detaliczna wyrobów związanych z kulturą i rekreacją
3,47.6,Sprzedaż detaliczna wyrobów związanych z kulturą i rekreacją prowadzona w wyspecjalizowanych sklepach,47.9,Pośrednictwo w sprzedaży detalicznej
3,47.7,Sprzedaż detaliczna pozostałych wyrobów prowadzona w wyspecjalizowanych sklepach,47.5,Sprzedaż detaliczna pozostałych artykułów użytku domowego
3,47.7,Sprzedaż detaliczna pozostałych wyrobów prowadzona w wyspecjalizowanych sklepach,47.6,Sprzedaż detaliczna wyrobów związanych z kulturą i rekreacją
3,47.7,Sprzedaż detaliczna pozostałych wyrobów prowadzona w wyspecjalizowanych sklepach,47.7,"Sprzedaż detaliczna pozostałych wyrobów z wyłączeniem pojazdów silnikowych, w tym motocykli"
3,47.7,Sprzedaż detaliczna pozostałych wyrobów prowadzona w wyspecjalizowanych sklepach,47.9,Pośrednictwo w sprzedaży detalicznej
3,47.8,Sprzedaż detaliczna prowadzona na straganach i targowiskach,47.1,Sprzedaż detaliczna niewyspecjalizowana
3,47.8,Sprzedaż detaliczna prowadzona na straganach i targowiskach,47.2,"Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych"
3,47.8,Sprzedaż detaliczna prowadzona na straganach i targowiskach,47.4,Sprzedaż detaliczna narzędzi technologii informacyjnej i komunikacyjnej
3,47.8,Sprzedaż detaliczna prowadzona na straganach i targowiskach,47.5,Sprzedaż detaliczna pozostałych artykułów użytku domowego
3,47.8,Sprzedaż detaliczna prowadzona na straganach i targowiskach,47.6,Sprzedaż detaliczna wyrobów związanych z kulturą i rekreacją
3,47.8,Sprzedaż detaliczna prowadzona na straganach i targowiskach,47.7,"Sprzedaż detaliczna pozostałych wyrobów z wyłączeniem pojazdów silnikowych, w tym motocykli"
3,47.9,"Sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami",47.1,Sprzedaż detaliczna niewyspecjalizowana
3,47.9,"Sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami",47.2,"Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych"
3,47.9,"Sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami",47.4,Sprzedaż detaliczna narzędzi technologii informacyjnej i komunikacyjnej
3,47.9,"Sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami",47.5,Sprzedaż detaliczna pozostałych artykułów użytku domowego
3,47.9,"Sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami",47.6,Sprzedaż detaliczna wyrobów związanych z kulturą i rekreacją
3,47.9,"Sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami",47.7,"Sprzedaż detaliczna pozostałych wyrobów z wyłączeniem pojazdów silnikowych, w tym motocykli"
3,47.9,"Sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami",47.9,Pośrednictwo w sprzedaży detalicznej
3,47.9,"Sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami",60.3,Działalność agencji informacyjnych i pozostała działalność związana z dystrybucją treści
1,H,TRANSPORT I GOSPODARKA MAGAZYNOWA,D,"WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH
"
1,H,TRANSPORT I GOSPODARKA MAGAZYNOWA,H,TRANSPORT I GOSPODARKA MAGAZYNOWA
1,H,TRANSPORT I GOSPODARKA MAGAZYNOWA,K,"DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE TELEKOMUNIKACJI, PROGRAMOWANIA KOMPUTEROWEGO, DORADZTWA, INFRASTRUKTURY OBLICZENIOWEJ ORAZ POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI"
2,49,Transport lądowy oraz transport rurociągowy,49,Transport lądowy oraz transport rurociągowy
2,49,Transport lądowy oraz transport rurociągowy,52,"Magazynowanie, przechowywanie i działalność usługowa wspomagająca transport"
3,49.1,Transport kolejowy pasażerski międzymiastowy,49.1,Szynowy transport pasażerski
3,49.2,Transport kolejowy towarów,49.2,Transport kolejowy towarów
3,49.3,Pozostały transport lądowy pasażerski,49.1,Szynowy transport pasażerski
3,49.3,Pozostały transport lądowy pasażerski,49.3,Pozostały transport lądowy pasażerski
3,49.3,Pozostały transport lądowy pasażerski,52.3,Pośrednictwo w transporcie
3,49.4,Transport drogowy towarów oraz działalność usługowa związana z przeprowadzkami,49.4,Transport drogowy towarów oraz działalność usługowa związana z przeprowadzkami
3,49.4,Transport drogowy towarów oraz działalność usługowa związana z przeprowadzkami,52.2,Działalność usługowa wspomagająca transport
3,49.5,Transport rurociągowy,49.5,Transport rurociągowy
2,50,Transport wodny,50,Transport wodny
3,50.1,Transport morski i przybrzeżny pasażerski ,50.1,Transport morski i przybrzeżny pasażerski
3,50.2,Transport morski i przybrzeżny towarów,50.2,Transport morski i przybrzeżny towarów
3,50.3,Transport wodny śródlądowy pasażerski ,50.3,Transport wodny śródlądowy pasażerski
3,50.4,Transport wodny śródlądowy towarów,50.4,Transport wodny śródlądowy towarów
2,51,Transport lotniczy,51,Transport lotniczy
3,51.1,Transport lotniczy pasażerski,51.1,Transport lotniczy pasażerski
3,51.2,Transport lotniczy towarów i transport kosmiczny,51.2,Transport lotniczy towarów i transport kosmiczny
2,52,Magazynowanie i działalność usługowa wspomagająca transport,35,"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną i powietrze do układów klimatyzacyjnych"
2,52,Magazynowanie i działalność usługowa wspomagająca transport,52,"Magazynowanie, przechowywanie i działalność usługowa wspomagająca transport"
2,52,Magazynowanie i działalność usługowa wspomagająca transport,63,"Działalność usługowa w zakresie infrastruktury obliczeniowej, przetwarzania danych, zarządzania stronami internetowymi (hosting) i pozostała działalność usługowa w zakresie informacji"
3,52.1,Magazynowanie i przechowywanie towarów,35.2,Wytwarzanie paliw gazowych oraz dystrybucja i handel paliwami gazowymi w systemie sieciowym
3,52.1,Magazynowanie i przechowywanie towarów,52.1,Magazynowanie i przechowywanie towarów
3,52.1,Magazynowanie i przechowywanie towarów,63.1,"Działalność usługowa w zakresie infrastruktury obliczeniowej, przetwarzania danych, zarządzania stronami internetowymi (hosting) i działalności powiązane"
3,52.2,Działalność usługowa wspomagająca transport,52.2,Działalność usługowa wspomagająca transport
3,52.2,Działalność usługowa wspomagająca transport,52.3,Pośrednictwo w transporcie
2,53,Działalność pocztowa i kurierska,53,Działalność pocztowa i kurierska
3,53.1,Działalność pocztowa objęta obowiązkiem świadczenia usług powszechnych (operatora publicznego),53.1,Działalność pocztowa objęta obowiązkiem świadczenia usług powszechnych (operatora publicznego)
3,53.2,Pozostała działalność pocztowa i kurierska,53.2,Pozostała działalność pocztowa i kurierska
1,I,DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI,I,DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI
2,55,Zakwaterowanie,55,Zakwaterowanie
3,55.1,Hotele i podobne obiekty zakwaterowania,55.1,Hotele i podobne obiekty zakwaterowania
3,55.2,Obiekty noclegowe turystyczne i miejsca krótkotrwałego zakwaterowania,55.2,Obiekty noclegowe turystyczne i miejsca krótkotrwałego zakwaterowania
3,55.3,Pola kempingowe (włączając pola dla pojazdów kempingowych) i pola namiotowe,55.3,Pola kempingowe
3,55.9,Pozostałe zakwaterowanie,55.9,Pozostałe zakwaterowanie
2,56,Działalność usługowa związana z wyżywieniem,56,Działalność usługowa związana z wyżywieniem
3,56.1,Restauracje i pozostałe placówki gastronomiczne,56.1,Restauracje i ruchome placówki gastronomiczne
3,56.2,Przygotowywanie żywności dla odbiorców zewnętrznych (katering) i pozostała gastronomiczna działalność usługowa,56.2,Okazjonalne i regularne przygotowywanie żywności dla odbiorców zewnętrznych (katering) i pozostała gastronomiczna działalność usługowa
3,56.3,Przygotowywanie i podawanie napojów,56.3,Podawanie napojów
1,J,INFORMACJA I KOMUNIKACJA,J,DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI
1,J,INFORMACJA I KOMUNIKACJA,K,"DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE TELEKOMUNIKACJI, PROGRAMOWANIA KOMPUTEROWEGO, DORADZTWA, INFRASTRUKTURY OBLICZENIOWEJ ORAZ POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI"
2,58,Działalność wydawnicza,58,Działalność wydawnicza
3,58.1,"Wydawanie książek i periodyków oraz pozostała działalność wydawnicza, z wyłączeniem w zakresie oprogramowania",58.1,"Wydawanie książek, gazet i periodyków oraz pozostała działalność wydawnicza, z wyłączeniem w zakresie oprogramowania"
3,58.2,Działalność wydawnicza w zakresie oprogramowania,58.2,Działalność wydawnicza w zakresie oprogramowania
2,59,"Działalność związana z produkcją filmów, nagrań wideo, programów telewizyjnych, nagrań dźwiękowych i muzycznych",59,"Działalność związana z produkcją filmów, nagrań wideo, programów telewizyjnych, nagrań dźwiękowych i muzycznych"
3,59.1,"Działalność związana z filmami, nagraniami wideo i programami telewizyjnymi",59.1,"Działalność związana z filmami, nagraniami wideo i programami telewizyjnymi"
3,59.2,Działalność w zakresie nagrań dźwiękowych i muzycznych,59.2,Działalność w zakresie nagrań dźwiękowych i muzycznych
2,60,Nadawanie programów ogólnodostępnych i abonamentowych,60,"Nadawanie programów ogólnodostępnych i abonamentowych, działalność agencji informacyjnych i pozostała działalność związana z dystrybucją treści"
3,60.1,Nadawanie programów radiofonicznych,60.1,Nadawanie programów radiofonicznych i dystrybucja nagrań dźwiękowych
3,60.2,Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych,60.2,Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych oraz dystrybucja nagrań wideo
2,61,Telekomunikacja,61,Telekomunikacja
3,61.1,Działalność w zakresie telekomunikacji przewodowej,61.1,"Działalność w zakresie telekomunikacji przewodowej, bezprzewodowej i satelitarnej"
3,61.2,"Działalność w zakresie telekomunikacji bezprzewodowej, z wyłączeniem telekomunikacji satelitarnej",61.1,"Działalność w zakresie telekomunikacji przewodowej, bezprzewodowej i satelitarnej"
3,61.2,"Działalność w zakresie telekomunikacji bezprzewodowej, z wyłączeniem telekomunikacji satelitarnej",61.9,Działalność w zakresie pozostałej telekomunikacji
3,61.3,Działalność w zakresie telekomunikacji satelitarnej,61.1,"Działalność w zakresie telekomunikacji przewodowej, bezprzewodowej i satelitarnej"
3,61.9,Działalność w zakresie pozostałej telekomunikacji,61.2,Działalność w zakresie odsprzedaży usług telekomunikacyjnych oraz pośrednictwo w telekomunikacji
3,61.9,Działalność w zakresie pozostałej telekomunikacji,61.9,Działalność w zakresie pozostałej telekomunikacji
2,62,Działalność związana z oprogramowaniem i doradztwem w zakresie informatyki oraz działalność powiązana,62,"Działalność związana z programowaniem, doradztwem w zakresie informatyki i działalności powiązane"
3,62.0,Działalność związana z oprogramowaniem i doradztwem w zakresie informatyki oraz działalność powiązana,62.1,Działalność w zakresie programowania
3,62.0,Działalność związana z oprogramowaniem i doradztwem w zakresie informatyki oraz działalność powiązana,62.2,Działalność związana z doradztwem w zakresie informatyki oraz zarządzaniem urządzeniami informatycznymi
3,62.0,Działalność związana z oprogramowaniem i doradztwem w zakresie informatyki oraz działalność powiązana,62.9,Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych
2,63,Działalność usługowa w zakresie informacji,60,"Nadawanie programów ogólnodostępnych i abonamentowych, działalność agencji informacyjnych i pozostała działalność związana z dystrybucją treści"
2,63,Działalność usługowa w zakresie informacji,63,"Działalność usługowa w zakresie infrastruktury obliczeniowej, przetwarzania danych, zarządzania stronami internetowymi (hosting) i pozostała działalność usługowa w zakresie informacji"
3,63.1,Przetwarzanie danych; zarządzanie stronami internetowymi (hosting) i podobna działalność; działalność portali internetowych,60.2,Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych oraz dystrybucja nagrań wideo
3,63.1,Przetwarzanie danych; zarządzanie stronami internetowymi (hosting) i podobna działalność; działalność portali internetowych,60.3,Działalność agencji informacyjnych i pozostała działalność związana z dystrybucją treści
